ticket,cost,month,location_from,location_to,duration,distance,assistance,energy_used,energy_collected
savonia,0.0,10,TORI,TORI,1068,930,1,8.8,2.1
single,0.25,7,VÄINÖLÄNNIEMI,SATAMA,256,790,1,2.0,0.9
single,0.05,5,TEATTERI,TEATTERI,20,0,1,0.0,0.0
season,0.0,6,RYPYSUO,TORI,834,4260,1,28.5,8.1
single,0.6,6,TORI,VÄINÖLÄNNIEMI,706,2070,1,13.4,13.8
season,0.0,4,KYS,SATAMA,690,2870,1,8.2,1.5
season,0.0,5,VÄINÖLÄNNIEMI,TEATTERI,558,2360,1,23.1,6.0
season,0.0,7,SATAMA,VÄINÖLÄNNIEMI,264,880,1,4.2,2.7
single,0.3,8,SATAMA,TORI,307,950,1,11.1,1.2
single,0.65,6,MICROTEKNIA,TORI,742,3110,1,14.7,8.4
season,0.0,7,SATAMA,SATAMA,251,0,1,0.0,0.0
season,0.0,7,VÄINÖLÄNNIEMI,SATAMA,537,1480,1,11.9,1.2
single,0.05,5,TORI,TORI,5,0,0,0.0,0.0
season,0.0,5,PETONEN,PETONEN,1213,5210,1,30.5,5.1
season,0.0,5,SATAMA,TORI,344,940,1,12.7,0.3
single,0.15,6,VÄINÖLÄNNIEMI,VÄINÖLÄNNIEMI,127,0,1,0.0,0.0
season,0.0,8,TORI,MICROTEKNIA,635,3180,1,27.6,6.6
season,0.0,5,TORI,RYPYSUO,848,4260,1,31.2,6.0
season,0.0,5,SATAMA,TEATTERI,468,1650,1,16.4,4.5
single,1.3,6,PETONEN,KYS,1523,8480,1,36.1,11.1
single,0.6,5,MICROTEKNIA,TORI,709,3040,1,18.6,4.5
season,0.0,5,TEATTERI,TEATTERI,41,0,1,0.0,0.0
single,0.35,9,TEATTERI,SNELLMANIA,378,1840,1,7.5,6.9
single,4.8,5,SATAMA,TORI,5700,12430,1,126.0,59.4
season,0.0,8,KYS,TORI,429,1880,1,14.8,4.2
season,0.0,7,TORI,TORI,865,1620,1,17.2,9.6
season,0.0,6,TORI,SATAMA,317,920,1,5.8,9.0
single,0.15,9,TEATTERI,TORI,167,710,1,2.9,1.8
season,0.0,6,VÄINÖLÄNNIEMI,SATAMA,531,1580,1,19.2,2.4
single,0.05,6,TORI,TORI,19,0,0,0.0,0.0
season,0.0,7,SATAMA,TORI,384,910,1,11.5,0.3
season,0.0,5,TORI,TORI,3,0,0,0.0,0.0
season,1.0,7,VÄINÖLÄNNIEMI,MICROTEKNIA,2232,6520,1,62.0,10.2
single,0.35,7,SATAMA,TORI,409,1150,1,12.6,3.0
single,0.25,8,TEATTERI,KYS,283,1140,1,9.0,1.5
single,0.65,7,MICROTEKNIA,TORI,771,3130,1,18.8,13.2
single,0.3,5,TORI,SATAMA,313,930,0,0.0,4.8
season,0.0,6,TEATTERI,TORI,1046,3130,1,25.8,9.3
season,0.0,10,PETONEN,PETONEN,10,0,1,0.0,0.0
single,1.15,6,TORI,RYPYSUO,1360,4460,1,29.9,27.6
season,0.0,5,SNELLMANIA,TORI,600,2620,1,19.8,0.0
single,0.1,6,VÄINÖLÄNNIEMI,VÄINÖLÄNNIEMI,70,90,1,1.1,0.0
single,0.05,5,SATAMA,SATAMA,24,0,0,0.0,0.0
single,0.35,7,VÄINÖLÄNNIEMI,TORI,416,1620,1,19.5,1.8
season,0.0,5,SATAMA,TORI,568,730,1,11.0,0.0
season,0.0,6,VÄINÖLÄNNIEMI,VÄINÖLÄNNIEMI,127,20,1,0.1,0.0
savonia,0.0,10,SNELLMANIA,TORI,774,2700,1,24.0,6.6
season,0.0,5,SATAMA,VÄINÖLÄNNIEMI,254,730,1,5.2,2.1
single,0.2,6,TORI,TORI,216,10,0,0.0,0.0
season,0.0,6,TORI,TORI,91,140,1,1.7,0.0
single,0.25,9,KYS,SNELLMANIA,287,0,1,0.0,0.0
season,0.0,7,TORI,PETONEN,1623,8670,1,61.1,12.3
single,0.35,6,TORI,SATAMA,412,910,1,4.2,7.5
season,0.0,6,MICROTEKNIA,SNELLMANIA,1186,1750,0,0.0,10.8
savonia,0.0,10,MICROTEKNIA,SNELLMANIA,134,460,1,1.1,2.1
season,0.0,7,KYS,KYS,1794,0,1,0.0,0.0
savonia,0.0,10,SNELLMANIA,SNELLMANIA,138,460,1,7.3,0.3
season,0.0,6,PETONEN,PETONEN,257,850,1,9.3,0.9
single,0.05,5,SATAMA,SATAMA,12,0,1,0.0,0.0
single,1.55,10,TORI,SATAMA,1859,8110,1,77.4,36.6
