ticket,cost,month,location_from,location_to,duration,distance,assistance,energy_used,energy_collected
season,0.0,8,SATAMA,TORI,1660,2740,1,34.8,6.9
season,0.0,10,MICROTEKNIA,TEATTERI,519,2370,1,18.4,12.6
season,0.0,5,MICROTEKNIA,MICROTEKNIA,27,0,0,0.0,0.0
single,0.1,5,SNELLMANIA,SNELLMANIA,115,0,1,0.0,0.0
season,0.0,7,SNELLMANIA,TORI,805,2640,1,23.1,5.4
single,0.15,8,TEATTERI,TEATTERI,153,700,1,2.0,0.6
single,0.55,6,SATAMA,TORI,620,1580,1,17.6,2.1
savonia,0.0,9,SNELLMANIA,SNELLMANIA,184,650,1,5.9,1.2
single,1.45,7,TORI,TORI,1737,5270,1,30.9,26.4
season,0.0,6,TORI,VÄINÖLÄNNIEMI,724,2060,1,11.2,7.5
single,0.4,8,KYS,MICROTEKNIA,458,1490,1,15.1,8.1
single,0.4,6,TORI,SATAMA,428,1370,1,6.5,6.0
season,0.0,7,TEATTERI,TORI,214,710,1,3.5,2.4
single,0.35,9,TEATTERI,SNELLMANIA,385,1900,0,0.0,5.4
single,0.2,5,TEATTERI,TORI,207,690,0,0.0,1.5
season,0.0,7,TORI,TORI,32,0,1,0.0,0.0
season,0.0,8,SATAMA,UIMAHALLI,496,1810,1,17.8,0.6
single,0.25,8,TEATTERI,KYS,280,1150,1,7.3,4.8
single,0.3,5,VÄINÖLÄNNIEMI,SATAMA,305,670,0,0.0,0.0
savonia,0.0,10,TORI,SATAMA,222,930,1,4.2,5.1
season,0.0,6,TORI,TORI,113,30,0,0.0,0.0
single,0.35,10,KYS,TORI,374,1850,1,13.5,3.6
season,0.0,5,TORI,TORI,29,0,1,0.0,0.0
season,0.0,7,TORI,SATAMA,258,940,1,2.6,7.5
savonia,0.0,10,TORI,TORI,1123,2240,1,20.8,4.5
single,0.1,6,SATAMA,SATAMA,65,0,1,0.0,0.0
season,0.0,8,TORI,TORI,11,0,1,0.0,0.0
season,0.0,8,TORI,TEATTERI,248,700,0,0.0,0.0
season,0.0,6,SATAMA,TORI,255,930,1,9.2,2.1
season,0.0,5,SATAMA,VÄINÖLÄNNIEMI,209,800,0,0.0,0.3
season,0.0,5,SATAMA,KYS,675,2790,1,20.3,0.6
single,0.65,6,SNELLMANIA,SATAMA,720,3530,0,0.0,2.1
season,0.0,5,TORI,VÄINÖLÄNNIEMI,756,3410,1,27.9,6.6
season,0.0,6,TORI,VÄINÖLÄNNIEMI,862,1570,1,9.5,6.6
season,0.0,9,TORI,TEATTERI,565,830,1,7.2,1.8
single,1.05,5,TORI,MICROTEKNIA,1230,5210,1,34.7,15.3
single,0.35,10,TORI,VÄINÖLÄNNIEMI,384,1530,1,8.4,8.7
single,0.3,6,TORI,TORI,341,1320,1,13.1,3.6
single,0.3,5,SATAMA,TORI,348,990,1,12.8,1.5
season,0.0,10,RYPYSUO,SNELLMANIA,728,4010,1,20.3,5.1
single,1.2,6,VÄINÖLÄNNIEMI,TORI,1415,2850,1,31.1,1.2
single,1.35,7,RYPYSUO,TORI,1590,4220,1,34.5,20.7
savonia,0.0,9,SNELLMANIA,MICROTEKNIA,123,470,1,7.8,0.3
season,0.0,5,SATAMA,TORI,316,920,1,12.0,0.6
single,0.8,6,TORI,RYPYSUO,915,4260,1,42.4,9.9
season,0.0,5,TORI,VÄINÖLÄNNIEMI,476,1500,1,0.0,7.2
savonia,0.0,9,TORI,TORI,70,0,1,0.0,0.0
savonia,0.0,9,UIMAHALLI,MICROTEKNIA,481,2230,1,10.1,9.3
single,0.5,8,TORI,TORI,547,0,1,0.0,0.0
single,0.35,6,TORI,VÄINÖLÄNNIEMI,411,1760,1,8.7,7.2
single,0.25,8,TEATTERI,KYS,280,1120,1,6.3,4.8
season,0.0,7,TORI,SATAMA,533,1600,1,7.8,7.2
season,0.0,6,VÄINÖLÄNNIEMI,SATAMA,545,1380,0,0.0,3.0
season,0.0,6,PETONEN,SNELLMANIA,1387,7390,1,42.6,10.8
season,0.0,7,TORI,TORI,70,50,1,0.5,0.0
season,0.0,6,TORI,TORI,578,2750,1,26.3,1.5
savonia,0.0,10,TORI,TORI,1287,3490,1,35.1,13.8
single,0.3,5,SATAMA,TORI,300,950,0,0.0,1.2
single,1.2,9,TORI,TORI,1415,5650,1,35.7,15.0
single,3.75,5,VÄINÖLÄNNIEMI,TORI,4499,9050,1,50.3,24.9
single,0.75,9,SNELLMANIA,TORI,857,2910,1,25.5,8.1
savonia,0.0,10,UIMAHALLI,TORI,939,1190,1,10.2,5.4
single,0.75,9,MICROTEKNIA,SATAMA,840,4120,1,22.2,6.0
single,2.85,6,TORI,PETONEN,3415,9850,1,0.0,7.2
single,0.55,7,TORI,KYS,613,1960,1,13.0,4.2
season,0.0,4,TEATTERI,TEATTERI,24,0,0,0.0,0.0
season,0.0,6,TORI,SATAMA,1237,3440,1,17.8,4.8
season,0.0,8,SATAMA,KYS,857,3010,1,29.9,5.1
single,0.55,6,VÄINÖLÄNNIEMI,TORI,609,1610,1,15.4,1.2
season,0.0,5,TORI,TORI,51,0,1,0.0,0.0
season,0.0,8,SATAMA,TORI,246,930,1,10.8,2.4
season,0.0,6,TORI,SATAMA,262,940,1,3.4,6.0
savonia,0.0,9,MICROTEKNIA,TORI,717,3090,1,26.3,5.7
season,0.0,6,MICROTEKNIA,MICROTEKNIA,1255,3210,1,18.5,19.5
single,0.2,6,SNELLMANIA,SNELLMANIA,189,10,1,0.3,0.0
season,0.0,9,RYPYSUO,VÄINÖLÄNNIEMI,1137,6100,1,41.2,12.9
savonia,0.0,9,MICROTEKNIA,SNELLMANIA,124,450,1,1.6,4.2
single,0.1,6,RYPYSUO,RYPYSUO,72,0,0,0.0,0.0
single,0.05,4,TEATTERI,TEATTERI,8,0,0,0.0,0.0
single,0.1,5,VÄINÖLÄNNIEMI,VÄINÖLÄNNIEMI,77,-90,1,0.0,0.0
season,0.0,6,SNELLMANIA,SNELLMANIA,539,1530,1,16.5,2.7
season,0.0,6,SNELLMANIA,MICROTEKNIA,140,440,1,7.2,0.3
season,0.0,7,MICROTEKNIA,SNELLMANIA,218,430,1,1.2,2.7
savonia,0.0,10,TORI,SATAMA,909,960,1,3.8,1.8
single,0.1,7,SATAMA,SATAMA,93,0,0,0.0,0.0
savonia,0.0,10,MICROTEKNIA,TEATTERI,466,2310,1,16.2,9.3
season,0.0,5,UIMAHALLI,SATAMA,651,1970,1,10.5,5.7
single,0.05,7,SATAMA,SATAMA,4,0,0,0.0,0.0
season,0.0,7,TORI,TORI,571,500,1,5.5,2.1
savonia,0.0,9,VÄINÖLÄNNIEMI,MICROTEKNIA,1054,4930,1,37.7,10.5
single,0.35,5,SATAMA,VÄINÖLÄNNIEMI,415,660,1,3.6,0.3
single,3.45,9,SATAMA,SATAMA,4106,16440,1,153.2,54.9
single,2.7,7,TORI,SATAMA,3183,4580,1,34.5,19.2
single,0.25,6,TORI,TEATTERI,263,900,1,8.4,2.1
season,0.0,5,UIMAHALLI,UIMAHALLI,33,0,0,0.0,0.0
season,0.0,7,TORI,SATAMA,700,2180,1,10.8,10.8
season,0.0,8,KYS,RYPYSUO,601,3220,1,28.3,4.5
season,0.0,8,RYPYSUO,RYPYSUO,3,0,0,0.0,0.0
savonia,0.0,9,SNELLMANIA,TEATTERI,492,1840,1,16.0,3.6
savonia,0.0,9,SNELLMANIA,MICROTEKNIA,121,450,1,7.0,0.3
savonia,0.0,9,TORI,TEATTERI,212,710,1,5.0,0.6
single,0.3,7,SATAMA,TORI,335,970,0,0.0,0.6
season,0.0,6,TORI,UIMAHALLI,231,880,1,10.9,1.2
single,1.0,10,SATAMA,TORI,1172,4880,1,43.8,8.4
savonia,0.0,10,TEATTERI,TORI,680,1480,1,11.2,4.8
single,0.05,5,TORI,TORI,5,0,0,0.0,0.0
season,0.0,7,VÄINÖLÄNNIEMI,SATAMA,543,870,1,7.8,0.0
season,0.0,7,VÄINÖLÄNNIEMI,TORI,1687,7000,1,53.9,9.0
season,0.0,7,UIMAHALLI,SNELLMANIA,338,1840,1,6.7,10.8
season,0.0,8,TORI,TORI,18,0,1,0.0,0.0
season,0.0,10,PETONEN,PETONEN,1341,5440,1,40.0,16.5
season,0.0,6,TORI,TORI,105,30,1,0.4,0.0
savonia,0.0,10,SATAMA,SATAMA,136,40,1,0.5,0.3
season,0.0,7,SNELLMANIA,TEATTERI,526,1940,0,0.0,3.0
season,0.0,5,TORI,SATAMA,306,950,1,4.9,6.3
single,0.05,7,TORI,TORI,20,0,0,0.0,0.0
single,0.2,6,TORI,TORI,230,1120,1,6.6,0.0
season,0.0,4,KYS,TORI,640,2210,1,12.6,5.4
season,0.0,5,SATAMA,TORI,247,910,0,0.0,0.6
single,0.05,6,TEATTERI,TEATTERI,4,0,0,0.0,0.0
savonia,0.0,9,SNELLMANIA,SNELLMANIA,184,650,1,5.9,1.2
season,0.0,8,SATAMA,TORI,251,930,1,10.3,1.8
season,0.0,6,TEATTERI,VÄINÖLÄNNIEMI,598,2270,0,0.0,5.1
season,0.0,6,SATAMA,TORI,1748,4620,1,34.9,6.6
season,0.0,6,TORI,SATAMA,676,1860,0,0.0,4.2
season,0.0,7,TORI,VÄINÖLÄNNIEMI,1097,3840,1,22.7,10.8
season,0.0,9,SNELLMANIA,TORI,711,2520,1,19.9,4.2
season,0.0,5,TEATTERI,SATAMA,421,1640,1,7.1,12.3
season,0.0,8,MICROTEKNIA,TORI,774,3230,1,26.0,12.0
savonia,0.0,9,SNELLMANIA,MICROTEKNIA,246,420,1,5.5,0.0
season,0.0,7,TEATTERI,TORI,242,730,0,0.0,2.1
single,0.4,10,KYS,TORI,469,2090,1,12.6,6.3
season,0.0,6,SATAMA,SATAMA,71,0,1,0.0,0.0
season,0.0,9,SATAMA,TORI,268,930,1,12.0,0.9
season,0.0,6,MICROTEKNIA,MICROTEKNIA,4,0,1,0.0,0.0
season,0.0,9,TORI,KYS,391,1860,1,13.3,3.9
season,0.0,7,SATAMA,TEATTERI,370,1650,1,14.3,3.0
single,0.7,9,TORI,TORI,833,660,1,0.3,1.2
single,0.05,7,PETONEN,PETONEN,3,0,1,0.0,0.0
single,0.05,8,VÄINÖLÄNNIEMI,VÄINÖLÄNNIEMI,10,0,1,0.0,0.0
season,0.0,5,TORI,TEATTERI,213,710,0,0.0,0.3
single,1.65,6,RYPYSUO,TORI,1936,5740,1,26.8,18.9
season,0.0,6,MICROTEKNIA,TORI,1143,7330,1,87.4,20.1
season,0.0,8,TORI,TORI,51,50,1,0.5,0.0
single,0.9,8,RYPYSUO,MICROTEKNIA,1064,2650,1,20.8,3.3
single,0.05,6,SNELLMANIA,SNELLMANIA,54,40,0,0.0,0.0
single,0.05,7,VÄINÖLÄNNIEMI,VÄINÖLÄNNIEMI,21,0,1,0.0,0.0
single,0.4,6,TORI,VÄINÖLÄNNIEMI,421,1530,1,5.9,5.1
season,0.0,7,SATAMA,SATAMA,338,840,1,5.0,0.0
season,0.0,8,VÄINÖLÄNNIEMI,TORI,517,1520,1,15.8,2.1
season,0.0,8,UIMAHALLI,RYPYSUO,1228,4350,1,34.9,13.8
single,0.15,8,TEATTERI,TORI,134,640,1,2.8,3.0
single,0.45,7,SATAMA,TORI,493,1310,1,14.7,2.4
single,0.25,7,SATAMA,TORI,260,960,1,12.1,1.5
season,0.0,5,TEATTERI,KYS,272,1130,0,0.0,0.0
single,0.1,5,VÄINÖLÄNNIEMI,VÄINÖLÄNNIEMI,67,0,1,0.0,0.0
savonia,0.0,10,TORI,TORI,7,0,1,0.0,0.0
season,0.0,5,UIMAHALLI,KYS,354,1300,1,12.7,1.5
single,0.3,7,TORI,VÄINÖLÄNNIEMI,355,1480,1,7.8,6.6
season,0.0,5,VÄINÖLÄNNIEMI,VÄINÖLÄNNIEMI,68,-30,1,0.1,0.0
season,0.0,8,TORI,TORI,1069,2680,1,25.7,11.7
single,0.35,8,TORI,SATAMA,364,1130,1,3.9,5.4
single,0.25,6,SATAMA,TORI,258,970,1,12.1,0.3
single,0.05,8,TORI,TORI,58,10,1,0.2,0.0
single,1.65,6,VÄINÖLÄNNIEMI,PETONEN,1931,10370,1,60.4,16.5
single,0.3,6,VÄINÖLÄNNIEMI,TORI,331,1520,1,10.5,1.8
single,0.65,7,SATAMA,SATAMA,733,2660,1,12.5,6.6
savonia,0.0,10,TORI,MICROTEKNIA,675,3040,1,18.5,11.4
single,0.3,5,VÄINÖLÄNNIEMI,TORI,354,1560,1,11.5,0.6
savonia,0.0,9,TORI,TORI,1201,1730,1,16.3,5.7
savonia,0.0,10,TORI,SATAMA,301,930,1,5.8,7.8
single,2.15,6,PETONEN,SATAMA,2525,10770,0,0.0,12.6
season,0.0,8,TORI,TORI,72,0,1,0.0,0.0
single,0.2,7,TORI,SATAMA,214,930,1,2.7,6.0
single,0.85,7,SATAMA,SATAMA,989,5350,1,26.3,14.4
season,0.0,7,TEATTERI,TORI,221,700,0,0.0,1.2
single,0.05,6,TORI,TORI,6,0,0,0.0,0.0
single,0.35,6,PETONEN,PETONEN,379,30,1,0.4,0.0
season,0.0,5,UIMAHALLI,TORI,258,920,1,8.9,1.5
single,0.75,5,TEATTERI,SATAMA,853,1970,1,9.7,6.0
single,0.3,6,TEATTERI,KYS,320,1120,1,6.8,3.6
single,0.55,6,MICROTEKNIA,TORI,632,3070,1,21.2,10.2
single,0.3,5,TEATTERI,UIMAHALLI,314,0,0,0.0,0.0
single,1.65,5,TORI,RYPYSUO,1972,4620,0,0.0,10.8
single,0.05,4,MICROTEKNIA,MICROTEKNIA,14,0,1,0.0,0.0
season,0.0,5,TORI,TORI,6,0,0,0.0,0.0
single,0.35,9,KYS,MICROTEKNIA,363,1540,1,12.6,4.5
season,0.0,5,TORI,KYS,440,1830,1,9.8,4.2
single,0.5,6,VÄINÖLÄNNIEMI,TORI,598,1510,1,18.3,2.1
season,0.0,5,TEATTERI,TEATTERI,78,-20,1,0.0,0.0
single,0.1,5,TORI,TORI,76,0,1,0.0,0.0
season,0.0,7,SATAMA,TORI,982,940,0,0.0,0.0
season,0.0,6,KYS,TORI,1192,2950,1,25.7,9.0
season,0.0,6,SATAMA,TORI,380,1010,0,0.0,0.0
single,0.45,9,KYS,TORI,495,2090,1,14.6,7.5
season,0.0,9,SNELLMANIA,MICROTEKNIA,360,460,1,9.9,0.6
season,0.0,9,MICROTEKNIA,MICROTEKNIA,589,1440,1,7.2,5.4
savonia,0.0,10,TORI,TORI,1666,3180,1,29.5,5.7
single,0.9,4,UIMAHALLI,UIMAHALLI,1076,2450,0,0.0,4.5
savonia,0.0,10,KYS,MICROTEKNIA,460,1440,1,10.3,4.5
single,0.45,8,TEATTERI,MICROTEKNIA,506,2410,1,15.8,6.6
season,0.0,5,KYS,TEATTERI,308,1150,1,10.4,2.1
single,0.5,8,RYPYSUO,KYS,596,3610,1,21.9,6.9
single,2.2,6,TORI,TORI,2624,13980,1,84.5,16.8
savonia,0.0,10,MICROTEKNIA,KYS,360,1480,1,14.0,10.2
season,0.0,6,MICROTEKNIA,MICROTEKNIA,1076,6540,1,53.8,21.3
season,0.0,7,SATAMA,SATAMA,26,0,0,0.0,0.0
single,0.5,5,TORI,VÄINÖLÄNNIEMI,593,1530,1,6.8,8.1
single,0.7,6,TORI,MICROTEKNIA,826,3070,1,20.4,12.0
season,0.0,7,RYPYSUO,MICROTEKNIA,755,4410,1,22.2,3.9
season,0.0,5,TORI,TEATTERI,901,2170,1,16.2,3.3
single,0.6,6,TORI,MICROTEKNIA,680,3050,1,22.4,7.2
single,2.3,4,PETONEN,KYS,2731,8370,0,0.0,9.9
single,0.2,8,TORI,SATAMA,225,970,1,4.3,5.4
single,0.3,6,TORI,SATAMA,302,1170,1,3.3,1.8
season,0.0,7,TORI,SATAMA,411,980,0,0.0,6.9
single,0.3,7,VÄINÖLÄNNIEMI,VÄINÖLÄNNIEMI,306,10,0,0.0,0.0
savonia,0.0,10,SATAMA,TORI,1622,2820,1,23.6,9.9
season,0.0,10,SNELLMANIA,UIMAHALLI,665,1820,1,23.8,1.5
season,0.0,5,TORI,UIMAHALLI,222,900,1,7.5,0.3
season,0.0,7,TORI,TORI,68,0,1,0.0,0.0
single,0.15,5,SATAMA,SATAMA,128,30,1,0.3,0.0
single,0.5,6,KYS,TORI,540,2210,1,13.5,9.9
savonia,0.0,9,UIMAHALLI,SNELLMANIA,398,1800,0,0.0,3.9
single,0.45,7,TORI,TORI,493,1660,0,0.0,5.1
season,0.0,5,TORI,UIMAHALLI,258,870,1,7.3,1.2
season,0.0,5,TORI,TORI,91,0,1,0.0,0.0
season,0.0,8,MICROTEKNIA,SATAMA,1009,4080,1,26.7,13.5
season,0.0,5,MICROTEKNIA,TORI,788,3100,1,25.0,5.1
season,0.0,6,TORI,SATAMA,261,1100,1,5.2,5.1
single,0.35,6,TORI,VÄINÖLÄNNIEMI,388,1440,0,0.0,6.3
single,0.25,4,KYS,TEATTERI,269,1130,1,7.0,2.4
season,0.0,4,TORI,TORI,119,60,0,0.0,0.0
single,0.7,9,MICROTEKNIA,MICROTEKNIA,793,4520,1,17.9,10.8
season,0.0,4,TORI,TORI,4,0,0,0.0,0.0
single,1.95,6,SATAMA,TORI,2320,5760,1,50.6,11.1
single,0.05,6,TORI,TORI,9,0,0,0.0,0.0
single,0.15,7,SATAMA,VÄINÖLÄNNIEMI,173,670,1,6.7,0.3
single,0.6,7,MICROTEKNIA,TORI,716,3080,1,28.2,13.8
season,0.0,5,TORI,TORI,1017,1820,0,0.0,1.8
single,0.3,5,TORI,TORI,327,80,1,1.0,0.0
single,0.15,5,MICROTEKNIA,SNELLMANIA,133,440,0,0.0,2.7
season,0.0,5,TORI,MICROTEKNIA,1134,3380,0,0.0,2.7
savonia,0.0,9,SATAMA,TORI,282,990,1,11.2,0.9
season,0.0,8,SATAMA,TORI,597,2070,1,27.4,5.4
season,0.0,5,RYPYSUO,RYPYSUO,51,30,1,0.2,0.0
season,0.0,7,SNELLMANIA,MICROTEKNIA,169,450,1,7.4,0.3
season,0.0,10,TORI,TORI,15,0,0,0.0,0.0
savonia,0.0,9,MICROTEKNIA,MICROTEKNIA,230,0,1,0.0,0.0
single,0.3,8,SATAMA,TORI,345,940,1,12.0,0.9
single,0.65,4,TEATTERI,MICROTEKNIA,723,3320,1,26.1,6.6
single,0.55,7,SATAMA,TORI,621,2000,0,0.0,1.5
savonia,0.0,9,MICROTEKNIA,RYPYSUO,965,4740,1,36.3,24.3
single,0.45,7,SATAMA,SATAMA,500,1750,0,0.0,0.0
season,0.0,7,KYS,KYS,10,0,0,0.0,0.0
single,1.25,8,TORI,TORI,1482,3960,1,29.6,7.8
season,0.0,8,TEATTERI,SNELLMANIA,457,1970,1,11.7,2.1
savonia,0.0,9,MICROTEKNIA,VÄINÖLÄNNIEMI,1019,4830,1,33.3,14.7
season,0.0,7,TEATTERI,TEATTERI,29,0,1,0.0,0.0
single,1.0,7,KYS,VÄINÖLÄNNIEMI,1151,4110,1,22.6,16.8
single,0.3,5,SATAMA,SATAMA,335,80,1,0.6,0.0
single,0.05,7,TORI,TORI,31,0,1,0.0,0.0
season,0.0,6,SATAMA,TORI,380,1010,0,0.0,0.0
season,0.0,6,VÄINÖLÄNNIEMI,TORI,398,1630,1,17.0,1.5
single,0.05,6,TORI,TORI,10,0,0,0.0,0.0
season,0.0,5,SATAMA,SATAMA,220,0,1,0.0,0.0
season,0.0,9,UIMAHALLI,UIMAHALLI,301,0,1,0.0,0.0
single,0.25,6,TORI,SATAMA,287,940,1,4.7,7.8
single,0.4,7,TORI,TORI,421,1610,1,6.4,7.5
season,0.0,5,TEATTERI,TEATTERI,66,0,0,0.0,0.0
season,0.0,6,TORI,MICROTEKNIA,893,3100,1,24.8,11.1
single,0.2,7,SNELLMANIA,MICROTEKNIA,213,450,1,9.3,0.6
season,0.0,5,KYS,KYS,148,10,1,0.1,0.0
single,0.5,6,SNELLMANIA,TORI,540,2640,1,15.7,4.5
single,0.15,6,TORI,TORI,126,0,1,0.0,0.0
single,0.4,6,KYS,TORI,460,1970,1,16.2,6.6
single,0.05,7,TORI,TORI,48,0,1,0.0,0.0
single,0.45,6,KYS,TORI,500,2220,1,16.5,6.0
savonia,0.0,9,RYPYSUO,MICROTEKNIA,853,4590,1,30.0,4.8
season,0.0,8,KYS,TORI,573,2070,1,12.8,6.6
savonia,0.0,9,TORI,SATAMA,697,1620,1,9.5,11.4
season,0.0,5,VÄINÖLÄNNIEMI,SATAMA,1070,2240,1,13.9,1.2
season,0.0,6,VÄINÖLÄNNIEMI,SATAMA,219,670,1,5.7,0.3
season,0.0,8,KYS,KYS,283,0,1,0.0,0.0
savonia,0.0,10,UIMAHALLI,TORI,292,910,1,4.3,2.7
single,0.25,7,SATAMA,TORI,287,930,0,0.0,0.9
season,0.0,6,MICROTEKNIA,TORI,791,3070,1,26.3,10.8
savonia,0.0,9,MICROTEKNIA,TORI,880,3040,1,26.4,11.7
season,0.0,8,TORI,TEATTERI,256,720,1,7.2,0.6
single,1.2,6,SATAMA,SATAMA,1381,1980,1,19.5,2.1
single,0.15,6,TORI,TEATTERI,179,730,0,0.0,0.3
single,0.1,5,TORI,TORI,61,130,1,1.5,0.0
season,0.0,5,TEATTERI,TEATTERI,398,1160,0,0.0,0.3
season,0.0,7,TORI,MICROTEKNIA,907,3020,1,23.5,10.5
savonia,0.0,9,MICROTEKNIA,UIMAHALLI,526,2200,1,12.7,6.6
season,0.0,7,MICROTEKNIA,SNELLMANIA,159,0,0,0.0,0.0
single,1.1,7,PETONEN,PETONEN,1265,1320,1,6.5,2.7
single,0.25,6,SATAMA,VÄINÖLÄNNIEMI,296,660,0,0.0,0.0
savonia,0.0,9,MICROTEKNIA,TORI,677,3130,1,14.4,12.3
season,0.0,5,TORI,TORI,485,0,1,0.0,0.0
single,0.2,6,TORI,SATAMA,215,940,0,0.0,3.0
season,0.0,8,SATAMA,TORI,251,930,1,12.3,2.1
single,0.4,5,TORI,TORI,442,140,1,0.9,0.0
single,0.05,7,TORI,TORI,27,0,1,0.0,0.0
season,0.0,6,TEATTERI,SATAMA,1308,3970,1,15.8,19.5
single,0.95,10,PETONEN,PETONEN,1136,2680,1,16.8,6.9
season,0.0,7,TORI,TORI,14,0,0,0.0,0.0
season,0.0,6,TORI,VÄINÖLÄNNIEMI,549,1550,1,11.1,5.7
single,0.1,6,PETONEN,PETONEN,63,30,1,0.2,0.0
single,0.25,6,KYS,SNELLMANIA,293,1030,0,0.0,5.4
single,0.8,6,PETONEN,PETONEN,915,4870,1,29.0,8.1
season,0.0,10,TORI,TORI,96,-40,1,1.9,0.3
season,0.0,7,SATAMA,SATAMA,12,0,0,0.0,0.0
single,0.35,6,TEATTERI,TORI,400,730,1,5.4,2.1
season,0.0,5,SATAMA,TORI,351,0,1,0.0,0.0
season,0.0,7,SATAMA,TORI,314,960,1,12.0,1.2
single,0.5,5,TORI,MICROTEKNIA,575,3100,1,15.0,8.4
single,1.75,8,SATAMA,PETONEN,2097,9580,1,54.6,15.3
savonia,0.0,10,SATAMA,KYS,568,2710,1,23.3,3.0
single,0.05,7,TEATTERI,TEATTERI,13,0,0,0.0,0.0
single,1.5,7,TORI,SATAMA,1760,3480,1,25.0,15.9
single,0.3,6,TORI,SATAMA,358,940,1,3.1,8.1
season,0.0,7,TORI,SATAMA,304,1020,0,0.0,7.5
single,0.05,8,SATAMA,SATAMA,52,0,1,0.0,0.0
single,0.05,6,SATAMA,SATAMA,51,0,1,0.0,0.0
savonia,0.0,9,MICROTEKNIA,RYPYSUO,843,4430,1,37.9,10.5
season,0.0,7,TORI,TORI,27,0,0,0.0,0.0
season,0.0,10,SATAMA,RYPYSUO,1373,6520,1,71.6,10.2
season,0.0,7,KYS,KYS,4,0,0,0.0,0.0
single,0.25,7,TEATTERI,TORI,263,730,1,4.4,2.7
season,0.0,5,TORI,TORI,7,0,0,0.0,0.0
single,1.0,6,RYPYSUO,SATAMA,1171,6050,1,33.5,37.8
season,0.0,8,TORI,TORI,231,60,1,0.7,0.0
season,0.0,9,UIMAHALLI,VÄINÖLÄNNIEMI,694,2340,1,14.4,9.0
season,0.0,9,RYPYSUO,TEATTERI,1575,5240,0,0.0,9.0
single,0.45,5,TORI,TORI,526,1610,1,8.6,4.8
single,0.25,6,SATAMA,TORI,282,940,1,13.6,0.9
savonia,0.0,10,TORI,TORI,1389,4700,1,31.5,7.8
season,0.0,8,TORI,TORI,905,2290,1,19.1,10.8
single,0.25,6,SATAMA,SATAMA,284,1000,1,7.7,0.9
single,0.65,6,TORI,TORI,731,2920,1,17.3,8.4
single,0.45,8,MICROTEKNIA,TEATTERI,505,2410,1,13.4,5.7
season,0.0,6,SNELLMANIA,SNELLMANIA,104,90,0,0.0,2.1
season,0.0,7,RYPYSUO,VÄINÖLÄNNIEMI,1079,6140,1,35.6,18.0
single,0.1,8,TORI,TORI,63,0,1,0.0,0.0
season,0.0,6,SATAMA,MICROTEKNIA,911,4070,1,36.9,7.5
season,0.0,9,TORI,RYPYSUO,1036,4250,1,43.0,16.2
season,0.0,6,VÄINÖLÄNNIEMI,TORI,508,1460,1,16.2,1.8
single,0.1,8,TORI,TORI,104,70,1,0.0,0.0
season,0.0,5,TORI,TORI,54,70,0,0.0,0.0
season,0.0,6,TEATTERI,KYS,278,1180,0,0.0,0.6
season,0.0,8,TORI,UIMAHALLI,259,890,1,6.7,1.8
single,0.45,7,KYS,SATAMA,536,2770,1,13.8,10.2
single,0.05,7,TORI,TORI,33,0,1,0.0,0.0
season,0.0,6,VÄINÖLÄNNIEMI,VÄINÖLÄNNIEMI,5,0,1,0.0,0.0
single,0.75,7,VÄINÖLÄNNIEMI,TEATTERI,868,2210,0,0.0,3.6
season,0.0,7,TORI,TORI,7,0,0,0.0,0.0
season,0.0,8,TORI,TORI,1686,2050,1,24.1,6.0
single,0.2,10,TORI,TEATTERI,185,720,1,6.2,0.3
single,0.05,7,TEATTERI,TEATTERI,21,0,1,0.0,0.0
single,0.95,6,SNELLMANIA,TORI,1102,3150,0,0.0,3.3
season,0.0,6,MICROTEKNIA,MICROTEKNIA,172,220,1,3.3,0.0
single,1.65,7,PETONEN,SATAMA,1976,10790,1,62.5,18.0
season,1.0,5,TORI,TORI,2851,3920,0,0.0,9.0
season,0.0,5,SATAMA,SATAMA,38,0,1,0.0,0.0
single,0.2,5,VÄINÖLÄNNIEMI,VÄINÖLÄNNIEMI,196,660,1,3.2,1.2
single,0.1,7,TORI,TORI,94,0,0,0.0,0.0
season,0.0,8,RYPYSUO,VÄINÖLÄNNIEMI,1002,5760,1,30.5,18.3
single,0.1,6,TORI,TORI,78,0,1,0.0,0.0
savonia,0.0,10,TORI,SATAMA,222,930,1,5.3,4.2
season,0.0,6,TORI,TORI,930,1640,1,20.0,9.9
savonia,0.0,10,SATAMA,MICROTEKNIA,1301,6060,1,45.5,7.2
season,0.0,7,RYPYSUO,TORI,796,4450,1,26.4,9.3
single,0.3,7,TORI,TEATTERI,357,740,0,0.0,0.6
single,0.55,6,TORI,SATAMA,656,840,0,0.0,5.1
savonia,0.0,10,SATAMA,MICROTEKNIA,869,3980,1,28.2,8.1
season,0.0,8,SNELLMANIA,TORI,620,2670,1,23.2,3.3
season,0.0,6,SATAMA,SATAMA,40,0,1,0.0,0.0
season,0.0,7,TORI,SATAMA,190,960,1,3.8,5.7
single,0.35,7,SATAMA,TORI,410,940,0,0.0,0.6
season,0.0,5,KYS,KYS,21,0,1,0.0,0.0
savonia,0.0,9,MICROTEKNIA,MICROTEKNIA,44,0,1,0.0,0.0
savonia,0.0,9,TORI,KYS,430,1830,1,8.7,3.0
season,0.0,8,TORI,RYPYSUO,894,4600,1,37.9,4.5
